"person","gender","how_old_they_are","whatTheyDoForWork","ascending_sun_sign","is_female"
2530477,"male",16,"Communications-Media","Taurus",0
3659810,"female",16,"Student","Sagittarius",1
4127892,"female",23,"indUnk","Aquarius",1
3210443,"male",15,"Maritime","Aries",0
2041376,"male",46,"Government","Virgo",0
3441237,"female",24,"Technology","Taurus",1
3802560,"female",27,"indUnk","Leo",1
4110426,"female",16,"Student","Virgo",1
4018510,"female",26,"indUnk","Sagittarius",1
3854507,"male",16,"Student","Leo",0
3736456,"female",17,"indUnk","Scorpio",1
4005871,"male",24,"BusinessServices","Gemini",0
3653608,"male",14,"Student","Sagittarius",0
3739936,"male",24,"Student","Pisces",0
3889125,"female",25,"indUnk","Capricorn",1
3898327,"female",25,"Marketing","Libra",1
3750679,"female",46,"indUnk","Libra",1
1297806,"female",23,"indUnk","Aquarius",1
1468613,"male",26,"Technology","Taurus",0
3651537,"male",13,"Student","Scorpio",0
1764527,"male",16,"Student","Virgo",0
3678305,"female",23,"Education","Sagittarius",1
3546185,"male",14,"Technology","Sagittarius",0
3388436,"female",27,"indUnk","Pisces",1
2960957,"female",24,"indUnk","Aries",1
3573664,"female",13,"indUnk","Pisces",1
4172685,"male",17,"indUnk","Sagittarius",0
4174255,"male",38,"indUnk","Scorpio",0
3507239,"female",48,"Religion","Virgo",1
3869310,"female",14,"Student","Sagittarius",1
4116772,"female",40,"Marketing","Cancer",1
3602392,"male",23,"indUnk","Virgo",0
3389492,"female",27,"LawEnforcement-Security","Virgo",1
3748772,"male",25,"indUnk","Scorpio",0
4313749,"female",25,"indUnk","Taurus",1
3882041,"female",24,"indUnk","Leo",1
2219761,"female",13,"indUnk","Virgo",1
3407461,"male",24,"Engineering","Leo",0
3906690,"male",23,"Technology","Leo",0
3324498,"male",35,"Technology","Sagittarius",0
3362256,"male",15,"indUnk","Scorpio",0
4317978,"male",13,"Student","Virgo",0
4219493,"male",16,"Student","Scorpio",0
3682097,"male",13,"Student","Virgo",0
3744749,"male",17,"Student","Aquarius",0
4042742,"female",25,"indUnk","Aquarius",1
3726758,"female",23,"indUnk","Aries",1
3365937,"female",27,"Non-Profit","Capricorn",1
3034587,"male",34,"Engineering","Taurus",0
1578617,"male",27,"Communications-Media","Cancer",0
4116071,"male",26,"Arts","Sagittarius",0
3539735,"male",23,"Student","Scorpio",0
3434678,"male",24,"Education","Cancer",0
2761350,"male",14,"indUnk","Sagittarius",0
3062417,"female",16,"Student","Sagittarius",1
3303289,"male",41,"Consulting","Aquarius",0
3837238,"male",25,"Non-Profit","Aries",0
1231280,"male",23,"Student","Libra",0
4117683,"male",34,"Technology","Pisces",0
3607908,"male",15,"RealEstate","Libra",0
4065211,"male",24,"indUnk","Pisces",0
3326517,"male",14,"indUnk","Aries",0
2666667,"female",24,"indUnk","Aries",1
4148401,"female",26,"indUnk","Leo",1
3539866,"female",24,"indUnk","Pisces",1
3293519,"male",25,"Consulting","Leo",0
3917041,"male",16,"indUnk","Sagittarius",0
3420059,"male",27,"Construction","Virgo",0
3639697,"male",24,"indUnk","Taurus",0
3968354,"female",25,"indUnk","Cancer",1
3612534,"female",24,"indUnk","Leo",1
4201743,"female",34,"indUnk","Gemini",1
3834275,"female",17,"indUnk","Pisces",1
3367818,"female",25,"Tourism","Capricorn",1
2565902,"female",16,"indUnk","Scorpio",1
4220602,"female",24,"Arts","Taurus",1
1469021,"male",34,"indUnk","Libra",0
3741518,"male",25,"indUnk","Capricorn",0
3825274,"male",44,"BusinessServices","Cancer",0
2467122,"female",23,"Student","Taurus",1
4155355,"female",15,"indUnk","Gemini",1
3645176,"male",35,"HumanResources","Aries",0
2462546,"female",26,"indUnk","Capricorn",1
3443289,"female",17,"Fashion","Aquarius",1
3400353,"male",27,"Advertising","Capricorn",0
3987980,"male",23,"Student","Gemini",0
4135774,"male",24,"Non-Profit","Gemini",0
3782485,"male",14,"indUnk","Virgo",0
3371593,"female",26,"indUnk","Cancer",1
3510775,"male",25,"Education","Cancer",0
4261549,"female",27,"Museums-Libraries","Gemini",1
675101,"male",25,"Government","Aquarius",0
3590758,"female",16,"Student","Leo",1
3784976,"female",16,"Student","Aquarius",1
4184111,"male",35,"indUnk","Taurus",0
4159965,"female",17,"Student","Aries",1
4283836,"female",15,"Student","Virgo",1
1886523,"male",26,"Communications-Media","Leo",0
4269552,"female",23,"Student","Virgo",1
3637280,"female",17,"indUnk","Leo",1
3425875,"female",13,"Student","Taurus",1
3785032,"female",13,"Student","Gemini",1
3494384,"male",17,"Student","Scorpio",0
47519,"male",23,"Communications-Media","Sagittarius",0
3235391,"female",13,"indUnk","Taurus",1
3938293,"female",24,"Marketing","Capricorn",1
3770422,"female",33,"Education","Cancer",1
3824836,"male",25,"Non-Profit","Taurus",0
3654666,"male",24,"indUnk","Taurus",0
2871584,"female",24,"Education","Leo",1
4256165,"female",17,"indUnk","Pisces",1
3795215,"female",17,"Student","Gemini",1
3474606,"female",26,"indUnk","Scorpio",1
3889756,"male",14,"indUnk","Scorpio",0
3405448,"female",27,"indUnk","Aquarius",1
4139452,"male",16,"Manufacturing","Leo",0
3425474,"male",34,"indUnk","Sagittarius",0
3841319,"male",15,"Student","Aries",0
3501274,"female",24,"Marketing","Leo",1
4077292,"female",16,"indUnk","Taurus",1
3602044,"female",16,"Student","Taurus",1
3610470,"male",15,"Education","Pisces",0
3636206,"female",40,"indUnk","Aries",1
3717498,"female",16,"Student","Virgo",1
2815623,"male",24,"Arts","Aquarius",0
3671186,"female",17,"indUnk","Virgo",1
3539291,"male",16,"indUnk","Cancer",0
3484266,"female",14,"Student","Aquarius",1
4307614,"female",25,"Education","Sagittarius",1
3297343,"female",23,"indUnk","Sagittarius",1
716609,"female",25,"Chemicals","Pisces",1
3102380,"female",40,"Arts","Taurus",1
4071623,"male",23,"indUnk","Capricorn",0
3440019,"male",24,"Technology","Aquarius",0
1173156,"male",24,"indUnk","Virgo",0
3963763,"male",36,"Arts","Sagittarius",0
4288997,"male",41,"Arts","Cancer",0
2862233,"female",25,"indUnk","Aries",1
3360218,"male",27,"Manufacturing","Capricorn",0
3563472,"female",17,"Student","Scorpio",1
3936446,"male",17,"indUnk","Gemini",0
3169863,"female",23,"Communications-Media","Leo",1
3312844,"female",24,"indUnk","Aries",1
3897107,"male",25,"indUnk","Sagittarius",0
3679450,"female",40,"indUnk","Sagittarius",1
3052011,"male",36,"Science","Sagittarius",0
4109418,"male",17,"Student","Virgo",0
3806796,"male",27,"Arts","Pisces",0
4201171,"male",27,"Accounting","Libra",0
3452037,"female",25,"indUnk","Capricorn",1
1826527,"male",25,"Science","Cancer",0
3393193,"male",25,"indUnk","Scorpio",0
4251553,"male",24,"Internet","Pisces",0
3487247,"male",14,"Student","Leo",0
1119280,"female",27,"indUnk","Gemini",1
3486165,"male",35,"indUnk","Aries",0
4246891,"male",16,"Student","Sagittarius",0
2689647,"male",24,"Non-Profit","Pisces",0
4186235,"female",17,"Student","Aquarius",1
3680912,"female",23,"Marketing","Scorpio",1
3916361,"female",17,"Student","Libra",1
3548891,"female",25,"Technology","Leo",1
4217949,"female",16,"indUnk","Cancer",1
1232458,"female",38,"indUnk","Cancer",1
4217389,"female",42,"Marketing","Pisces",1
4177364,"male",36,"Transportation","Taurus",0
3289365,"male",33,"indUnk","Capricorn",0
4178198,"male",17,"indUnk","Aries",0
4254838,"female",17,"indUnk","Sagittarius",1
4120342,"male",27,"indUnk","Pisces",0
3958236,"female",27,"Education","Virgo",1
3297995,"male",48,"Internet","Aquarius",0
4096925,"female",14,"Student","Gemini",1
3687061,"male",38,"Science","Scorpio",0
3885103,"male",34,"indUnk","Libra",0
3455088,"female",16,"Student","Pisces",1
3794174,"female",24,"Museums-Libraries","Leo",1
3326854,"female",24,"indUnk","Cancer",1
3403175,"male",25,"Internet","Libra",0
2894986,"male",16,"Student","Cancer",0
3430834,"female",14,"Student","Capricorn",1
3944141,"female",13,"Student","Scorpio",1
1496664,"female",35,"Arts","Sagittarius",1
3479519,"male",17,"Student","Aquarius",0
3828416,"female",35,"Internet","Pisces",1
577518,"female",17,"Student","Sagittarius",1
4223444,"female",15,"Student","Gemini",1
4107980,"male",24,"indUnk","Virgo",0
4079159,"male",24,"indUnk","Aries",0
3534514,"male",25,"Arts","Capricorn",0
3714043,"male",37,"Technology","Libra",0
3093247,"female",23,"indUnk","Aquarius",1
2069530,"female",23,"indUnk","Taurus",1
2214588,"male",27,"indUnk","Sagittarius",0
4072978,"male",24,"Technology","Taurus",0
2906530,"male",16,"Education","Libra",0
3514095,"female",17,"indUnk","Sagittarius",1
4070641,"male",14,"Student","Aquarius",0
3975428,"male",15,"Student","Pisces",0
1591337,"male",16,"Education","Taurus",0
4108175,"female",26,"Education","Virgo",1
1846741,"female",37,"RealEstate","Capricorn",1
3287752,"male",39,"indUnk","Aries",0
3972928,"female",15,"indUnk","Capricorn",1
3480288,"male",14,"Education","Pisces",0
4111331,"female",23,"indUnk","Pisces",1
3248461,"female",27,"Non-Profit","Aries",1
3485026,"male",23,"Student","Aries",0
4158423,"male",25,"indUnk","Libra",0
3578821,"female",25,"indUnk","Scorpio",1
3357106,"female",24,"Communications-Media","Libra",1
3407290,"male",37,"Engineering","Leo",0
3821977,"male",24,"Technology","Cancer",0
2334999,"male",13,"Student","Capricorn",0
3326417,"male",24,"Student","Libra",0
3485630,"female",15,"Arts","Aries",1
4129667,"female",17,"Student","Taurus",1
1266795,"female",16,"Student","Taurus",1
3421231,"male",25,"Accounting","Capricorn",0
3291496,"female",27,"BusinessServices","Gemini",1
3837811,"male",23,"Student","Aries",0
3570475,"female",16,"Student","Gemini",1
1317513,"male",17,"Arts","Scorpio",0
3499844,"female",14,"Education","Gemini",1
3902168,"female",24,"Consulting","Cancer",1
4224157,"male",43,"Consulting","Leo",0
4044124,"female",16,"indUnk","Aries",1
3642778,"male",16,"Student","Aquarius",0
3684482,"male",17,"Military","Cancer",0
3643729,"female",15,"Student","Capricorn",1
3483536,"female",23,"indUnk","Scorpio",1
4005927,"female",40,"Architecture","Aquarius",1
4081571,"male",17,"Student","Sagittarius",0
3390145,"female",16,"Student","Taurus",1
3869301,"male",17,"Student","Virgo",0
3592107,"female",48,"Student","Taurus",1
3336745,"female",14,"indUnk","Capricorn",1
3824541,"male",15,"Student","Pisces",0
11253,"male",26,"Technology","Aquarius",0
3904932,"male",16,"Student","Taurus",0
4045773,"female",26,"Communications-Media","Sagittarius",1
4045235,"female",16,"Student","Leo",1
3642313,"female",41,"indUnk","Gemini",1
3497429,"female",17,"indUnk","Libra",1
3677506,"male",25,"Technology","Libra",0
4255694,"male",17,"Student","Virgo",0
3883716,"female",24,"Arts","Aries",1
3467934,"male",24,"Communications-Media","Libra",0
3492445,"male",39,"indUnk","Leo",0
4058460,"female",14,"Student","Sagittarius",1
3558906,"female",15,"indUnk","Taurus",1
4251929,"female",34,"Education","Taurus",1
3519711,"female",23,"indUnk","Aquarius",1
3643583,"male",25,"Technology","Scorpio",0
3771234,"male",23,"indUnk","Sagittarius",0
4157580,"female",16,"Religion","Sagittarius",1
3805963,"female",23,"Student","Pisces",1
1756743,"female",36,"indUnk","Virgo",1
3393960,"male",16,"Student","Pisces",0
3456608,"male",24,"indUnk","Libra",0
4006099,"male",15,"indUnk","Aries",0
3919102,"male",17,"Student","Taurus",0
3214726,"male",26,"indUnk","Sagittarius",0
1932521,"female",16,"indUnk","Taurus",1
4101848,"female",24,"Fashion","Cancer",1
2066570,"female",26,"indUnk","Scorpio",1
3076608,"male",26,"Technology","Pisces",0
3746444,"male",17,"Student","Leo",0
3435468,"male",25,"indUnk","Gemini",0
4195012,"male",26,"Museums-Libraries","Taurus",0
3392141,"female",23,"Student","Gemini",1
3304752,"male",33,"Marketing","Pisces",0
4089504,"male",13,"indUnk","Cancer",0
4198655,"male",16,"indUnk","Virgo",0
3792827,"female",25,"Student","Aquarius",1
3362389,"female",27,"indUnk","Sagittarius",1
3832205,"male",17,"Student","Capricorn",0
4008222,"female",41,"indUnk","Sagittarius",1
3838413,"female",23,"indUnk","Aquarius",1
3917386,"female",24,"Science","Virgo",1
4198397,"male",37,"Communications-Media","Cancer",0
3547294,"male",36,"Consulting","Aries",0
4226481,"male",27,"Publishing","Pisces",0
4295416,"male",42,"Military","Leo",0
2799037,"female",23,"Communications-Media","Virgo",1
1334172,"male",24,"indUnk","Sagittarius",0
1019710,"male",16,"Student","Pisces",0
4004920,"female",14,"indUnk","Libra",1
3365015,"male",16,"Science","Leo",0
3353223,"male",40,"Technology","Aries",0
3864402,"female",26,"Banking","Cancer",1
3566850,"female",24,"Religion","Capricorn",1
706237,"male",27,"Arts","Cancer",0
4184721,"female",26,"Law","Cancer",1
3965108,"male",17,"HumanResources","Virgo",0
4152549,"male",17,"indUnk","Gemini",0
2872814,"female",17,"indUnk","Aries",1
4094386,"female",16,"Student","Libra",1
3945287,"male",23,"indUnk","Aquarius",0
4064209,"female",46,"Non-Profit","Scorpio",1
3402111,"female",16,"Student","Sagittarius",1
4118090,"female",24,"indUnk","Aries",1
3536707,"male",15,"indUnk","Cancer",0
3979339,"male",17,"Student","Cancer",0
4202286,"male",16,"Student","Gemini",0
3721842,"male",23,"Student","Aquarius",0
1662633,"female",23,"Engineering","Pisces",1
2765922,"female",27,"Government","Virgo",1
3158527,"female",15,"indUnk","Taurus",1
2927293,"male",26,"Tourism","Aquarius",0
4239997,"male",23,"Student","Gemini",0
3663487,"female",16,"Student","Scorpio",1
3293989,"male",24,"Arts","Taurus",0
4020224,"male",16,"Student","Pisces",0
3878650,"female",26,"Student","Taurus",1
3507369,"male",24,"Advertising","Libra",0
3847879,"male",17,"Sports-Recreation","Scorpio",0
2376531,"male",39,"Engineering","Leo",0
3543301,"female",24,"Non-Profit","Gemini",1
3992553,"female",23,"indUnk","Aries",1
3840627,"female",13,"Student","Virgo",1
3332079,"female",16,"indUnk","Cancer",1
3807770,"female",33,"Transportation","Scorpio",1
996147,"female",36,"Telecommunications","Leo",1
4104018,"female",23,"Military","Sagittarius",1
3604870,"male",26,"Internet","Pisces",0
3895153,"female",41,"indUnk","Aries",1
4224677,"female",14,"indUnk","Leo",1
4007693,"male",14,"Student","Gemini",0
698778,"female",23,"indUnk","Pisces",1
3731869,"female",25,"indUnk","Taurus",1
4248268,"male",25,"indUnk","Leo",0
3252533,"male",16,"indUnk","Scorpio",0
2406842,"female",13,"indUnk","Leo",1
3724797,"male",24,"indUnk","Virgo",0
4206509,"female",15,"indUnk","Aries",1
1185193,"female",17,"Student","Leo",1
4174790,"female",16,"Fashion","Gemini",1
2316374,"female",16,"Student","Libra",1
3962812,"male",17,"indUnk","Scorpio",0
4135399,"male",14,"Arts","Virgo",0
2927720,"male",26,"Internet","Libra",0
3416873,"female",26,"Education","Aries",1
3655935,"male",24,"Student","Capricorn",0
3926066,"female",15,"indUnk","Capricorn",1
3873347,"male",27,"indUnk","Capricorn",0
3190878,"female",27,"indUnk","Gemini",1
4150247,"male",16,"Student","Taurus",0
3725589,"female",23,"indUnk","Aquarius",1
795131,"female",39,"Technology","Scorpio",1
3691582,"male",26,"Internet","Sagittarius",0
3775921,"male",40,"Telecommunications","Aries",0
3337126,"female",14,"indUnk","Gemini",1
2153234,"male",27,"Religion","Pisces",0
3447710,"female",15,"indUnk","Leo",1
3433402,"female",16,"indUnk","Aries",1
3290758,"female",27,"indUnk","Scorpio",1
3560803,"male",16,"Student","Pisces",0
3835557,"male",17,"Student","Taurus",0
3378294,"female",15,"Student","Cancer",1
3478335,"female",26,"Telecommunications","Taurus",1
756402,"female",16,"indUnk","Cancer",1
3697318,"female",36,"Student","Pisces",1
4260207,"female",27,"BusinessServices","Virgo",1
3490080,"female",24,"Student","Leo",1
3352958,"female",14,"indUnk","Aries",1
2719893,"female",33,"Tourism","Capricorn",1
3722003,"female",24,"Arts","Pisces",1
2092651,"female",16,"Student","Libra",1
3542341,"female",26,"Arts","Virgo",1
3732981,"male",14,"indUnk","Leo",0
3447583,"male",26,"Technology","Aquarius",0
3763467,"female",27,"indUnk","Libra",1
2086819,"female",15,"indUnk","Gemini",1
3827508,"female",16,"Student","Taurus",1
3229995,"female",24,"Student","Sagittarius",1
891211,"female",25,"indUnk","Scorpio",1
2859712,"male",41,"Technology","Gemini",0
4226070,"female",26,"indUnk","Gemini",1
3307516,"male",24,"Chemicals","Leo",0
3440704,"female",27,"indUnk","Libra",1
3911306,"female",13,"Student","Taurus",1
2725981,"female",16,"Student","Sagittarius",1
3894428,"female",17,"indUnk","Cancer",1
3865755,"male",24,"BusinessServices","Sagittarius",0
2630551,"male",23,"Arts","Taurus",0
3536769,"female",34,"indUnk","Aries",1
4255633,"female",24,"indUnk","Pisces",1
3865520,"male",35,"Technology","Cancer",0
1415200,"female",15,"Student","Libra",1
4305234,"male",17,"indUnk","Leo",0
1277039,"male",33,"Government","Sagittarius",0
585884,"male",17,"indUnk","Sagittarius",0
3676408,"female",25,"Communications-Media","Virgo",1
3772005,"male",23,"Law","Pisces",0
3712172,"male",17,"Student","Pisces",0
3554508,"female",15,"Student","Cancer",1
3660322,"female",25,"Law","Cancer",1
3299025,"male",25,"Student","Virgo",0
4118828,"male",36,"Law","Scorpio",0
3455485,"male",16,"indUnk","Cancer",0
3994798,"female",17,"Student","Cancer",1
3842050,"female",40,"Religion","Cancer",1
3639620,"male",26,"indUnk","Pisces",0
3822554,"female",25,"indUnk","Aries",1
3476107,"female",25,"Arts","Libra",1
4232158,"male",15,"Student","Taurus",0
3849434,"female",36,"indUnk","Cancer",1
4180779,"female",36,"Consulting","Aquarius",1
4287218,"female",26,"indUnk","Gemini",1
3996572,"female",15,"indUnk","Libra",1
3936510,"male",17,"Student","Scorpio",0
3758562,"female",23,"indUnk","Gemini",1
3921706,"male",16,"Student","Taurus",0
4192904,"female",17,"Student","Capricorn",1
4181490,"male",16,"indUnk","Cancer",0
3490604,"female",14,"Student","Cancer",1
3029772,"female",16,"indUnk","Aquarius",1
4291864,"male",17,"indUnk","Cancer",0
2722868,"male",36,"Law","Aries",0
3894910,"male",23,"Sports-Recreation","Virgo",0
4253344,"female",23,"Education","Leo",1
3377211,"male",24,"Education","Scorpio",0
3176840,"male",16,"Student","Libra",0
2889311,"male",23,"Student","Taurus",0
3233133,"male",16,"indUnk","Leo",0
3398614,"female",42,"indUnk","Libra",1
4060102,"female",33,"LawEnforcement-Security","Sagittarius",1
1492818,"female",47,"Arts","Aries",1
1680014,"male",24,"indUnk","Gemini",0
3887186,"female",36,"Education","Virgo",1
3916638,"male",17,"indUnk","Libra",0
1922762,"male",23,"Engineering","Taurus",0
4114949,"male",16,"Student","Capricorn",0
2346004,"female",24,"indUnk","Libra",1
4220525,"female",23,"Education","Libra",1
2834784,"male",17,"Biotech","Libra",0
3361994,"female",24,"Non-Profit","Capricorn",1
3350388,"male",17,"indUnk","Pisces",0
3978424,"male",17,"Student","Capricorn",0
3990718,"female",17,"Student","Cancer",1
2874442,"female",16,"indUnk","Taurus",1
4096493,"male",14,"Student","Scorpio",0
3510513,"male",23,"indUnk","Pisces",0
3981885,"female",24,"indUnk","Gemini",1
4253990,"male",23,"Sports-Recreation","Taurus",0
4231077,"male",13,"Non-Profit","Sagittarius",0
3882131,"female",13,"indUnk","Aries",1
3967340,"female",17,"Student","Sagittarius",1
3367301,"male",26,"Telecommunications","Cancer",0
3732095,"male",27,"indUnk","Libra",0
3593343,"female",15,"Sports-Recreation","Aquarius",1
4141585,"female",23,"indUnk","Gemini",1
1558288,"female",15,"Engineering","Taurus",1
3707169,"female",14,"Student","Virgo",1
780903,"male",25,"Student","Aquarius",0
3908748,"female",16,"Student","Aquarius",1
3320173,"male",44,"Telecommunications","Capricorn",0
2231910,"female",15,"Student","Taurus",1
579034,"female",17,"Student","Aquarius",1
3612495,"female",24,"Student","Gemini",1
3628466,"female",13,"Student","Sagittarius",1
3836859,"female",48,"indUnk","Cancer",1
3514206,"female",24,"indUnk","Virgo",1
4241454,"female",14,"Student","Aries",1
3854680,"female",14,"Student","Aquarius",1
4058383,"female",35,"indUnk","Gemini",1
1444118,"female",41,"Law","Leo",1
3517837,"female",24,"indUnk","Virgo",1
3800228,"female",15,"Student","Aries",1
3524019,"male",35,"BusinessServices","Leo",0
3649827,"female",16,"Student","Aquarius",1
3617731,"male",23,"indUnk","Pisces",0
4141194,"female",24,"Tourism","Aries",1
2564179,"male",17,"indUnk","Aries",0
3649974,"female",24,"Student","Scorpio",1
1209865,"female",33,"Architecture","Virgo",1
3443578,"male",26,"Manufacturing","Cancer",0
3833251,"male",14,"indUnk","Virgo",0
4161344,"male",25,"indUnk","Libra",0
2125697,"female",25,"Marketing","Libra",1
3735210,"female",17,"Student","Cancer",1
3599466,"male",25,"Agriculture","Taurus",0
1619927,"female",15,"indUnk","Gemini",1
3387287,"female",16,"Non-Profit","Pisces",1
2982311,"male",17,"Student","Aries",0
4311913,"female",17,"indUnk","Scorpio",1
4052873,"male",16,"Advertising","Gemini",0
2713323,"male",16,"Student","Cancer",0
3423212,"female",25,"indUnk","Pisces",1
3986284,"male",16,"Student","Sagittarius",0
3659024,"male",34,"Technology","Aquarius",0
3921982,"male",17,"indUnk","Taurus",0
3586012,"female",14,"Education","Aries",1
4333855,"male",14,"indUnk","Libra",0
3886921,"female",24,"indUnk","Scorpio",1
2902960,"female",33,"Arts","Capricorn",1
3326762,"male",23,"Science","Taurus",0
3537683,"female",25,"indUnk","Virgo",1
4251580,"female",33,"indUnk","Scorpio",1
4022569,"male",15,"Student","Virgo",0
3670664,"male",35,"Internet","Cancer",0
3453908,"female",25,"indUnk","Aquarius",1
4278106,"female",23,"Technology","Scorpio",1
4146839,"female",27,"Arts","Virgo",1
3662461,"female",24,"indUnk","Leo",1
4173337,"female",24,"indUnk","Aquarius",1
3294603,"male",15,"indUnk","Pisces",0
4015159,"male",17,"Student","Taurus",0
944569,"female",14,"Student","Leo",1
3139645,"male",27,"indUnk","Taurus",0
3934378,"male",25,"Law","Capricorn",0
4201404,"male",27,"indUnk","Cancer",0
4126518,"female",36,"indUnk","Taurus",1
4247939,"male",17,"Education","Aquarius",0
2760682,"female",26,"Arts","Gemini",1
4118479,"female",24,"Banking","Libra",1
3734553,"female",23,"Student","Aquarius",1
4312765,"male",23,"Non-Profit","Libra",0
4199362,"female",14,"indUnk","Aries",1
4136666,"male",24,"indUnk","Gemini",0
1325807,"female",25,"indUnk","Pisces",1
4191013,"male",37,"indUnk","Sagittarius",0
3893956,"female",14,"indUnk","Sagittarius",1
4308129,"male",17,"indUnk","Sagittarius",0
4017562,"female",14,"Arts","Virgo",1
3938699,"male",17,"Student","Taurus",0
3738180,"female",23,"indUnk","Aries",1
3476629,"female",23,"indUnk","Virgo",1
1982286,"male",25,"Engineering","Sagittarius",0
4157968,"male",16,"Student","Pisces",0
4220102,"female",15,"indUnk","Cancer",1
3489244,"female",45,"indUnk","Gemini",1
3405780,"male",24,"indUnk","Taurus",0
3581444,"male",24,"Internet","Pisces",0
3083205,"male",26,"Law","Capricorn",0
720744,"female",26,"Education","Pisces",1
4159649,"male",16,"indUnk","Cancer",0
1473902,"female",25,"indUnk","Pisces",1
2953261,"male",15,"indUnk","Aries",0
4038634,"female",23,"Internet","Aries",1
4047238,"male",24,"indUnk","Leo",0
4254447,"male",23,"Internet","Cancer",0
2635791,"female",23,"indUnk","Leo",1
3107053,"female",17,"indUnk","Libra",1
3668238,"female",17,"Student","Gemini",1
2680652,"female",25,"Education","Aries",1
3295157,"female",24,"indUnk","Scorpio",1
4165369,"female",24,"indUnk","Aries",1
980769,"male",25,"indUnk","Capricorn",0
4012951,"male",47,"Arts","Aquarius",0
4274458,"female",34,"Technology","Pisces",1
3312592,"male",26,"Non-Profit","Cancer",0
2959033,"female",24,"indUnk","Cancer",1
4187230,"male",27,"indUnk","Sagittarius",0
3974013,"female",23,"Student","Cancer",1
4175205,"female",17,"Student","Virgo",1
4060391,"male",25,"BusinessServices","Taurus",0
3689412,"male",24,"indUnk","Pisces",0
813893,"female",17,"indUnk","Taurus",1
3557790,"male",45,"Marketing","Libra",0
3681159,"male",26,"indUnk","Taurus",0
3545943,"female",13,"Student","Virgo",1
4173827,"female",38,"Manufacturing","Pisces",1
